No    Name          T90cat                  T90e
1    200829A  13.0999999046326         3.07955838522709 
2    200819A  26.9439998865128         7.06033421239206 
3    200809B  4.20000004768372         0.627808900355524
4    200806A  38.6879999637604         1.00406367133862 
5    200729A  122                     34.2344855372474   
6    200716C  86.5719999074936         15.1708020454952 
7    200714E         NA                        NA
8    200713A  41.972000002861         7.98674435078993 
9    200711A  29.3600000143051         3.07170836177462 
10   200701A  38.7799999713898         8.71284933029988 
11   200630A  14.8439998626709         2.78756657779575 
12   200623A        NA                        NA
13   200612A  425.923999905586         7.26613241710644 
14   200608A  121.552000045776         33.0062664770605 
15   200529A  79.9159998893738         7.19582355717513 
16   200528A  59.9839999675751         1.92381702054219 
17   200522A  0.615999937057495         0.07858750198435
18   200519A  71.6959999799728         1.20481696025365 
19   200512A  74                      14.3178210632764     
20   200509A  828.227999925613         13.3825565010765 
21   200425A  81                        21.6621790224345     
22   200416A  6.04799997806549         0.978652094595659
23   200411A  0.21999990940094         0.044721316900383
24   200410A  108.72000002861         40.7294525960593 
25   200409A  16                       5.09901951359278     
26   200324A    NA                              NA 
27   200306C  53.1520000696182         13.7253143456788 
28   200306A  32.9639999866486         1.10926278881364 
29   200303A  94.2199999094009         6.39572365248616 
30   200228B  7.36799991130829         1.57555826006172 
31   200227A  30.3279999494553         9.20228228056807 
32   200224A  45                       9.21954445729289     
33   200219A  288                      50.5964425626941   
34   200216B  67.4479998350143         6.56804386229279 
35   200215A  11.1479998826981         2.15453477136577 
36   200205B  453.912000060081         4.49853877102946 
37   200131A  32.7399998903275         0.879054111945978
38   200127A  217.023999810219         23.5884935159922 
39   200125A  350.335999965668         32.9667786948281 
40   200122A  190.595999956131         4.51451347 
41   200115A  242.139999985695         27.2340727025964 
42   200109A  112                      32   
43   200107B  86.675999879837         11.6602347772905 
44   191228A  193.815999984741         29.8751412512363 
45   191227A  55.8880000114441         16.2818455193879 
46   191221B  48                       16   
47   191220A  175.583999991417         125.995058205559 
48   191218A  44.6640000343323         0.739134655826652
49   191213A  118.991999983788         18.2649067514448 
50   191130A  17.5599999427795         2.87687051441905 
51   191123A  284.81199991703         52.2317749194354 
52   191122A  125.735999941826         31.0497181822785 
53   191106A  3.43599987030029         0.324863016551151
54   191101A  142.707999944687         18.247231101651 
55   191031D  0.287999987602234         0.04681883850783
56   191031C  78.5                      7.50918900334979   
57   191031A  12.1319999694824         2.34751269965428 
58   191029A  41                       8.24621125123532   
59   191024A  7.08399987220764         0.978243413242523
60   191019A  64.3479999303818         4.44964942613322 
61   191017B  4.32799994945526         0.571205655072513
62   191016A  126.679999947548         7.72798026488531 
63   191011A  7.35199999809265         0.937170199615569
64   191004B  300.127999901772         81.8288380767233 
65   191004A  2.44399988651276         0.082365103837775
66   191001B  107.136000037193         9.35435393365479 
67   190926A  362.340000033379         19.6065119642314 
68   190829A  56.8959999084473         47.0011049601117 
69   190828B  715.856000065804         451.971925576952 
70   190824A  169.360000014305         5.85471026588723 
71   190821A  57.095999956131         2.59615098282311   
72   190816A  375.759999990463         92.2201941781066 
73   190727B  39.1959999799728         1.31134127710442 
74   190719C  185.827999949455         9.59720388569659 
75   190718A  704                     995.606347910659   
76   190706B  43.5839998722076         14.7978463682327 
77   190701A  52.432000041008         4.0175614563681  
78   190630C  38.3839999437332         9.30888533061143 
79   190630B  5.567999958992           0.902904151689883   
80   190627A  2.69200003147125         0.88095405095938 
81   190613B  160.819999933243         17.0842647385542 
82   190613A  17.6319999694824         3.11392230173736 
83   190611A  41.7599999904633         30.6217243001004 
84   190610A  0.631999969482422         0.10065780753086
85   190604B  220.175999879837         4.72111353731662 
86   190519A  44.4800000190735         2.58586929632961 
87   190515B  46.5119999647141         9.64451343727788 
88   190512A  40.0719999074936         11.3308527627815 
89   190511A  27.6640000343323         2.35417588983274 
90   190427A  0.191999912261963         0.20238580342438
91   190424A  9.83599996566772         3.91796534981675 
92   190422A  269.016000032425         50.7213055702129 
93   190331A  4.33599984645844         0.234776531617368
94   190326A  0.0759999752044678         0.0322489854521
95   190324A  22.7840000391006         10.149727151475   
96   190320A  63                       12.0830459735946   
97   190311A  13.9519999027252         5.3155650397405   
98   190220A  10                       2   
99   190219A  167.739999890327         12.7941918627511 
100  190211A  10.8960000276566         1.54339884541641 
101  190204A  26.3239998817444         7.5497881100902   
102  190203A  86.5600000619888         64.5798710100376 
103  190202A  15.9999998807907         5.27495512093061 
104  190123A  25.12399995327           4.06866118463902   
105  190114C  361.459999918938         11.7360333432713 
106  190114B  26.4919999837875         6.69042210499976 
107  190114A  67.095999956131          9.82942278698472   
108  190110A  9.30400002002716         0.839094768973495
109  190109B  6.51199996471405         0.79070601675249 
110  190109A  115.007999897003         33.8917526652539 
111  190106A  78.095999956131          2.08513594337612   
112  190103B  19.5199999809265         2.71679818444433 
113  181228A  255.152000069618         138.024949557979 
114  181224A  12.4879999160767         4.20341810663401 
115  181213A  15.2960000038147         1.38101413587535 
116  181203A  15.0599999427795         1.76298946536287 
117  181202A  6.55999994277954         0.615337295582842
118  181126A  2.09200000762939         0.118928534389858
119  181125A  10.5119999647141         4.7872497517333   
120  181123B  0.259999990463257         0.04560706760790
121  181110A  138.424000024796         10.9277832336458 
122  181103A  9.16800010204315         2.87293578110704 
123  181030A  303.195999979973         78.5981634979086 
124  181027A  81.3039999008179         12.1059654022228 
125  181023A  56.9839998483658         8.03310270984739 
126  181022A  7.93599998950958         2.58436520285285 
127  181020A  238.015999913216         11.5988104904574 
128  181016A  111.34399998188          25.6272959371319   
