Name	TrTime
160607A	11:14:00
160601A	14:43:02
160525B	09:25:07
160525A	01:33:59
160519A	00:17:33
160506A	03:29:15
160504A	19:30:37
160501A	00:40:31
160425A	23:26:11
160424A	11:49:07
160419A	15:16:37
160417A	04:23:41
160412A	04:23:54
160411A	01:28:51
160410A	05:09:48
160409A	05:54:14
160408A	06:25:43
160327A	09:16:07
160325A	07:00:03
160321A	15:55:27
160314A	11:32:51
160313A	02:37:15
160303A	10:54:42
160228A	17:34:32
160227A	19:32:08
160225A	14:20:56
160223A	01:44:25
160220B	11:10:53
160220A	01:25:25
160216A	19:10:31
160203A	02:13:10
160131A	08:20:31
160127A	08:43:07
160123A	08:58:20
160121A	13:50:37
160119A	03:06:08
160117B	13:59:27
160117A	10:13:39
160104A	11:24:10
151229A	06:50:27
151228B	22:47:14
151228A	03:05:12
151215A	03:01:28
151210A	03:12:56
151205B	21:43:14
151205A	15:46:00
151127A	09:08:49
151122A	17:00:40
151118A	03:06:30
151114A	09:59:34
151112A	13:44:48
151111A	08:33:23
151107A	17:19:36
151031A	05:50:30
151029A	07:49:39
151027B	22:40:40
151027A	03:58:24
151023A	13:43:04
151022A	14:06:32
151021A	01:29:12
151006A	09:55:01
151004A	18:09:04
151001B	18:29:36
151001A	15:04:22
150925A	04:09:28
150915A	21:18:24
150911A	18:40:21
150910A	09:04:48
150907B	23:26:27
150901A	15:26:35
150831B	22:19:27
150831A	10:34:12
150821A	09:44:00
150819A	00:50:08
150818A	11:36:32
150817A	02:05:13
150811A	04:06:09
150801B	22:41:48
150728A	12:51:11
150727A	19:02:02
150724A	05:46:35
150722A	09:57:53
150720A	14:02:09
150716A	07:06:43
150711A	18:23:03
150710B	08:05:35
150710A	00:28:02
150626B	20:22:52
150626A	02:12:49
150616A	22:49:19
150615A	04:42:27
150607A	07:55:09
150530B	13:28:38
150530A	11:42:18
150527A	06:48:55
150513A	20:31:19
150430A	00:21:28
150428B	03:12:03
150428A	01:30:40
150424A	07:42:57
150423A	06:28:04
150413A	13:54:58
150407A	00:31:10
150403A	21:54:16
150402A	00:37:46
150323C	17:05:21
150323B	09:28:38
150323A	02:49:14
150318A	07:04:53
150317A	04:22:42
150314A	04:55:16
150309A	23:03:06
150302A	05:42:36
150301B	19:38:04
150301A	01:04:28
150222A	16:56:40
150213B	22:31:30
150212A	10:57:19
150211A	11:52:11
150206A	14:30:02
150204A	06:31:08
150203A	04:09:07
150202A	23:10:02
150201A	13:46:59
150120B	07:21:55
150120A	02:57:46
150110B	22:08:30
150103A	20:02:18
150101B	15:23:00
150101A	06:28:53
141229A	11:49:02
141225A	23:01:07
141221A	08:07:10
141220A	06:02:52
141212B	13:23:48
141212A	12:14:01
141205A	08:05:17
141130A	23:10:56
141121A	03:50:43
141109B	07:47:39
141109A	05:49:55
141102A	12:51:40
141031B	14:56:45
141031A	07:18:26
141026A	02:36:51
141022A	01:27:42
141020A	07:48:39
141017A	18:25:28
141015A	09:12:59
141005A	05:13:06
141004A	23:20:54
140930B	19:41:42
140927A	05:15:11
140919A	15:15:15
140916A	10:43:47
140909A	06:56:51
140907A	16:07:08
140903A	15:00:30
140901B	06:17:24
140828A	06:54:14
140824A	08:40:28
140818B	18:44:16
140817A	07:02:01
140730A	19:43:51
140719B	20:49:35.68
140719A	05:53:55.2
140716A	10:27:57.3
140713A	18:43:45
140710A	10:16:40
140709B	15:15:45
140709A	01:13:41
140706A	19:33:33
140703A	00:37:17
140629A	14:17:30
140628A	13:35:37
140626A	00:33:01
