gcn_number grb_id T90 T90err
12331 110905A NA NA
12352 110915A 78.76 1.25
12383 110921A 48 22.63
12399 110928A 26.7 4.8
12415 111005A 26 7
12424 111008A 63.46 2.19
12445 111016A 550 105
12457 111018A 36 5
12464 111020A 0.4 0.09
12476 111022A 24.7 3.6
12485 111022B 79.1 13.5
12504 111029A 7.6 1.1
12507 111026A 3.62 1.11
12523 111103A 11.6 0.5
12524 111103B 167 35
12539 111107A 26.6 6.6
12551 111109A 13 3.2
12561 111117A 0.47 0.09
12581 111121A 119 16
12598 111123A 290 88.1
12602 111129A 7.6 1.4
12620 111204A 48 22.6
12640 111209A NA NA
12651 111210A 2.52 0.13
12671 111212A NA NA
12689 111215A 796 250
12726 111225A 106.8 26.7
12749 111228A 101.2 5.42
12776 111229A 25.4 5
12799 120102A 38.7 3.5
12815 120106A 61.6 4.1
12839 120116A 41 5
12873 120118B 23.26 4.02
12884 120119A 253.8 24.5
12889 120121A 26.1 3.1
12924 120211A 61.7 6.4
12939 120212A 5.52 1.04
12946 120213A 48.9 12
12955 120215A 26.5 8.9
12963 120218A 27.5 1
12968 120219A 90.5 10.9
12983 120224A 8.13 1.99
12998 120229A 0.22 0.03
13007 120305A 0.1 0.02
13022 120308A 60.6 17.1
13039 120311A 3.5 0.8
13041 120311B 28.2 5.5
13052 120312A 14.2 3.4
13078 120320A 25.74 3.55
13096 120324A 118 10
13120 120326A 69.6 8.3
13137 120327A 62.9 7.5
13154 120328A 24.2 6.7
13186 120401A NA NA
13195 120403A 1.25 0.19
13207 120403B 7.3 1.9
13220 120404A 38.7 4.1
13246 120422A 5.35 1.4
13291 120514A 164.4 5.8
13310 120521A 0.45 0.08
13317 120521B 31.4 4
13333 120521C 26.7 4.4
13360 120612A 90 14
13384 120624B NA NA
13404 120701A 13.8 0.7
13414 120703A 25.2 4.3
13450 120711B 60 19
13455 120712A 14.7 3.3
13472 120714A 16.2 4
13481 120714B 159 34
13503 120722A 42.4 10.5
13517 120724A 72.8 16.4
13535 120728A 22.06 2.59
13536 120729A 71.5 17.5
13559 120802A 50 31
13568 120803A 10 3.6
13572 120803B 37.5 7.9
13581 120804A 0.81 0.08
13594 120805A 48 22.63
13604 120807A 20 5.8
13633 120811A 166 52
13634 120811C 26.8 3.7
13652 120815A 9.7 2.5
13659 120816A 7.6 3.1
13669 120817A 28.2 6.8
13689 120819A 71 21
13720 120907A 16.9 8.9
13733 120909A NA NA
13749 120911A 17.8 3.9
13769 120913A 30.1 4.8
13772 120913B 126 4
13784 120918A 25.1 2.5
13806 120922A 173 33
13807 120923A 27.2 3
13828 120927A 43 18
13836 121001A 147 24
13852 121011A 75.6 12.7
13869 121014A 80 22.6
13880 121017A 4.2 0.5
13899 121024A 69 32
13910 121027A 62.6 4.8
13917 121028A 3.8 0.7
13949 121031A 226 19
13942 121102A 24.7 3.4
13961 121108A 89 48
13970 121117A 30 5
